City,AQI,PM2.5/1h,PM10/h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
沈阳,70,44,87,0.9,29,115,117,15
深圳,53,20,29,0.68,13,95,102,5
石河子,29,13,15,0.6,30,38,56,6
石家庄,57,33,62,0.43,26,75,67,13
十堰,26,4,10,0.7,22,48,51,15
石嘴山,56,27,60,0.65,23,120,98,18
寿光,63,36,73,0.6,27,106,109,16
双鸭山,67,34,82,0.9,54,43,72,7
朔州,44,15,31,0.86,21,80,86,12
四平,84,41,115,0.87,35,121,127,21
松原,89,26,125,0.7,19,116,122,10
绥化,61,15,59,0.85,37,103,112,8
遂宁,25,7,9,0.53,14,46,48,6
随州,22,6,11,0.97,13,37,42,4
宿迁,28,17,23,0.35,19,46,54,7
苏州,57,31,61,1.5,69,26,46,23
宿州,36,14,35,0.4,35,63,60,7
塔城地区,53,8,28,0.5,25,110,102,4
泰安,50,32,49,0.87,24,83,87,19
太仓,47,18,46,0.4,40,47,64,16
太原,68,42,84,1.27,63,32,43,25
台州,86,27,75,0.53,15,105,141,5
泰州,28,17,24,0.55,23,46,54,6
唐山,67,38,70,0.72,36,124,119,19
天津,57,30,61,0.96,31,99,92,17
天水,26,7,16,0.5,8,47,50,10
铁岭,69,42,86,0.8,33,115,121,22
铜川,54,31,56,1.65,25,45,44,17
通化,35,9,24,1.3,51,31,69,7
通辽,75,30,81,0.87,32,127,128,18
铜陵,43,29,42,0.96,68,41,44,26
铜仁地区,21,13,20,0.75,8,28,37,3
吐鲁番地区,109,81,165,0.85,22,75,63,5
瓦房店,61,28,62,0.55,21,113,112,11
潍坊,56,20,59,0.48,24,94,100,9
威海,48,3,14,0.4,15,86,94,6
渭南,53,36,53,0.78,23,37,46,6
文登,44,11,29,0.55,21,66,87,4
文山州,33,6,21,0.65,7,67,64,5
温州,85,31,58,0.5,29,112,140,14
乌海,68,30,84,0.77,32,62,64,44
武汉,22,10,21,0.95,38,14,21,5
芜湖,29,16,17,0.73,38,46,56,3
吴江,52,20,51,0.87,63,33,49,12
五家渠,27,8,19,0.8,22,43,52,6
乌兰察布,64,19,19,0.45,11,125,115,15
乌鲁木齐,36,25,30,0.8,34,30,42,6
武威,57,26,61,0.55,13,116,107,12
无锡,53,34,53,1.13,60,17,31,9
吴忠,49,8,48,0.33,17,62,70,8
梧州,38,25,37,0.85,16,49,56,15
厦门,45,18,41,0.43,19,84,88,8
西安,48,28,47,1.13,37,33,36,8
湘潭,26,15,25,0.67,20,44,39,9
湘西州,19,7,14,0.33,9,29,37,1
襄阳,51,35,50,1.08,29,29,35,8
咸宁,16,10,15,1.35,24,13,21,3
咸阳,46,29,45,1.1,36,37,50,12
孝感,19,13,15,0.85,5,32,33,7
锡林郭勒盟,50,16,30,0.45,22,96,98,12
兴安盟,73,20,94,0.4,21,79,90,5
邢台,47,18,46,0.45,21,78,86,8
西宁,45,12,43,0.63,33,93,89,8
新乡,42,29,41,0.4,21,68,58,5
信阳,30,14,25,0.45,13,54,58,7
新余,54,37,56,0.66,19,55,51,24
忻州,122,92,131,1.23,48,44,36,68
西双版纳州,28,13,16,0.3,9,53,54,11
宣城,34,21,30,0.73,38,61,66,24
许昌,42,29,38,0.7,22,54,60,7
徐州,39,27,32,0.6,30,54,62,14
雅安,52,30,51,0.57,21,59,60,2
延安,37,12,24,1.05,22,68,72,8
延边州,53,20,54,0.83,30,51,69,7
盐城,32,14,20,0.6,23,63,62,9
阳江,45,10,0,0.83,19,57,89,3
阳泉,76,55,98,1.27,46,92,89,32
扬州,27,18,25,0.43,28,39,53,12
烟台,44,11,24,0.33,22,80,86,9
宜宾,31,21,30,0.98,22,48,47,10
宜昌,33,23,30,0.82,27,34,40,9
宜春,39,27,38,1.02,28,33,32,23
伊春,67,39,81,0.8,47,33,74,10
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,34,16,12,0.67,11,74,66,5
银川,62,26,72,0.89,29,101,86,27
营口,84,33,63,0.7,22,146,139,9
鹰潭,45,31,43,0.43,15,52,54,19
义乌,58,30,63,0.55,36,70,87,7
宜兴,41,24,40,1.4,74,11,30,11
益阳,27,15,26,0.94,16,41,49,3
永州,31,16,30,0.6,11,57,47,5
岳阳,21,10,20,0.75,13,28,29,5
玉林,48,28,47,1.07,18,43,63,18
榆林,37,6,16,1.05,18,79,73,5
运城,43,25,42,0.76,15,62,70,6
云浮,56,30,59,0.8,18,75,79,12
玉树州,38,2,12,0.5,4,83,75,7
玉溪,35,9,25,0.6,9,61,68,8
枣庄,62,31,72,0.68,34,55,66,22
张家港,37,21,36,0.35,40,63,52,5
张家界,19,7,13,0.88,13,32,37,4
张家口,77,39,102,0.72,29,125,112,9
章丘,53,21,54,0.55,25,92,92,14
张掖,53,4,32,0.2,9,116,102,9
漳州,59,27,66,0.6,16,111,104,4
湛江,30,10,0,0.62,7,59,59,4
肇庆,61,34,54,0.88,20,127,111,7
昭通,34,4,17,0.2,8,68,66,9
招远,43,14,33,0.55,15,76,84,6
郑州,38,21,37,0.72,38,39,48,9
镇江,31,13,19,0.5,26,55,60,2
中山,94,21,29,0.8,10,133,151,7
中卫,69,17,86,0.7,18,81,72,8
周口,37,18,32,0.8,21,63,73,8
舟山,61,25,42,0.57,11,90,112,6
珠海,60,16,29,0.6,19,99,110,4
诸暨,0,0,0,0.0,0,0,0,0
驻马店,43,30,41,0.5,18,67,62,5
株洲,30,18,29,0.5,23,28,30,7
淄博,61,33,67,1.07,36,102,112,17
自贡,27,13,24,0.6,24,41,52,15
资阳,33,8,27,0.48,18,69,65,4
遵义,23,9,22,0.75,20,27,23,3
